Text,Review-sentiment,Review-basic-sentiment
"Pros: 32 GBs more for my tablet. Works great.Cons: None to speak ofOverall: I hold this and I feel like I'm going to lose it. It is the perfect size to add storage to my tablet, though, and that is what I want it for.",Strongly Positive,Positive
I bought it to expand the memory on a cheap Android tablet. It is recognized and works fine. No problems.,Positive,Positive
"I just don't get what has happened to SanDisk quality.  It seems to have gone down over the years.  This product was glitchy from day one.  I thought it would be fine after a quick check disk, but then it only got worse.  After less than a week I have to return it.  What upsets me is that this is not my first bad experience with SanDisk products.  I used to buy them all the time, they were my brand of choice for flash memory (cards or thumb drives).  The last three products I have bought from them have had problems and failed either immediately or shortly after usage.  So I give up.  I will start looking to other companies for my memory needs.  I bought a Transcend to replace this.  I hope it works out better.",Strongly Negative,Negative
"This went into my Raspberry Pi, and it works great. I have had nothing but success from this little guy. Also, it conveniently came with the SD adapter.",Strongly Positive,Positive
"Broke after  2 weeks.....I will go back to Samsung HD cards... This was a waste of time and money. Actually, I should ask for a refund",Strongly Negative,Negative
"While updating maps for my Nuvi 40 I received a message stating I needed more memory to download new versions of maps that I required.This was probably a bit of overkill, but the price was right, so I ordered one. Two days later, I installed it and it worked flawlessly with mucho memory left for future needs. Will be buying a few more of them for other uses, can't go wrong with this card!!!See ya'",Strongly Positive,Positive
Great transfer speeds for my Tablet. Going on a month now and it works just fine. Highly recommend it to anyne.,Strongly Positive,Positive
I have both the Samsung Skyrocket and Note 2 Android phones and this card works great.  Mine came formatted for exFat.  Android will need it formatted in Fat 32.  To do this use the format function built into the phone.  After the format it works great!,Strongly Positive,Positive
If you are looking for a good SD card look no further. I use this in my Samsung Player and it works great. You can pop it in and out of multiple players if you want to give you flexibility. Also priced very good compared to other places.,Strongly Positive,Positive
"Like many here, mine failed and I lost my data (but being smart, I had a backup).  After further investigation, I found this product is NOT compatible with Android and a number of devices (cameras, phones, gps unit).  Windows seems to love it though.  Wish I had a windows device that could use 32G... my only one uses a whopping 100k at best.  What a Waste.UPDATE: Reformated is as FAT32 and works ok in my android devices and my Sony camera for about 3 months now.  Still, I keep a hot quick backup (OTA) every day to my desktop computer... I'll just say I'm not 100% confident in it yet.",Positive,Positive
"I got this for my brand new Nokia Lumia 810, but there is some kind of problem, the card is horribly slow, I can't record HD video to it, it studders.  I've tried reformatting several times to no avail.  I didn't have any of these problems with my old 32gb class 4 sandisk card...  There are other people having this problem as well, seems hit or miss.  I can't recommend this card at this time for this reason.EDIT:  I've contacted SanDisk and they are RMAing the card.  I'll improve the rating if the new card corrects the problem.EDIT: Got the new card, problem still exists...EDIT: I've suffered with this card for a year now, the only problem is that I cannot take video without studders, so I figured maybe software updates would eventually fix the problem.  They have not.  I have used multiple different camera apps, and the problem still persists.",Strongly Negative,Negative
"Works great with my Samsung Galaxy Note 10.1.  Fast and dependable, no problem with viewing videos from it on the Note 10.1.  Try it you will like it!",Strongly Positive,Positive
Amazing price for this micro SD.  Brings adapter with it.  Class 10.  Great product. I am very happy with this purchase.,Strongly Positive,Positive
"I purchased this card on a daily lighting deal for my new Samsung Galaxy Note II. It was recognized without issues. I connected it with its adapter to my computer's card reader to transfer about 3Gb of data and the best consistent transfer rate (average) was roughly 13Mbps... That's less than %50 of the advertised transfer rate.To be fair, I've used the same external card reader with my Sony HX100 digital camera with an SD card (16Gb class 10) and I get double the transfer rate of what I've gotten for this card.Here is the setup:1- SD Adapter included with this card.2- External 12-in-1 USB 2.0 card reader connected to a USB 2.0 port on my PC3- Files transferred were of varying sizes.4- Transferred from 2TB Seagate X2 SATA3 HDD (connected to SATA2 port)5- Windows 8 Enterprise x64 (oh yah baby)The only excuse I give this card for its bad performance is the files were relatively small sizes but some of them were as large as 50Mb... This still does not justify the very low transfer rate.I am not really picky because this card will reside inside my super phone but still it does not justify the money paid for this card.I hope this will help others.",Negative,Negative
"I needed some new SD cards for my new tablets. After researching I bought the SanDisk ultra 32 GB MicroSDHC Class 10. It is way better than the almost same price SanDisk Ultra without Class10!! The Ultra Class10 is lightning fast. you can see the difference when you copy large files, you will note that read and write procedures are much faster, whether you use it in camera, smart phone or tablet. The price is also ok. Only drawback I noted was that the recognized capacity is not 32GB but 29,71GB in my Asus Memo Pad. Other than that I am extremly pleased with this Micro SD.",Positive,Positive
"using card in a Sony action cam,  records perfect, very happy with card and adapter.  no problems.  reads and writes good",Strongly Positive,Positive
"Can't beat the price and quality for the capacity. I always buy these chips from Amazon. SanDisk chips have worked well for me. No problems with read/right, no lost data.",Strongly Positive,Positive
"Really the gold standard.  I will reserve 5 stars until they blow me away on the price.  Otherwise, this is an excellent buy.",Positive,Positive
After purchasing several SDHC from other sources I was almost ready to give up.  Each of those was somehow defective.  The Amazon SDHC is genuine and works like a charm.,Strongly Positive,Positive
"I bought this to increase the storage in my smartphone.The Samsung Note came with 16GB, with about 12GB usable.Installed this to store movies for long trips.Holds about 10 full length compressed mp4 movies.",Neutral,Neutral
I never faced any issues ...so far..so good. It works well with my tablet. It is super fast and reliable.,Strongly Positive,Positive
Works as expected. Love the great price and use it with my GoPro3. I would definitely recommend this to everyone.,Strongly Positive,Positive
Very satisfied with the product and price.SanDisk has not let me down never and 32 Gb added to my Dell Venue 8 Pro tablet just rocks.I could have gone for the 64 Gb but I really don't need more than 32. And the price was right,Strongly Positive,Positive
I bought this as soon as I heard that Amazon and Best Buy were the only retailers carrying it (for the time being).It arrived promptly and worked with my Galaxy Note II flawlessly. I have been recommending purchasing these to customers at the store I work at regularly to try and get more people aware of the benefits of mass storage on small devices.,Strongly Positive,Positive
"I ordered a San Disk Ultra 32 GB and received it the next day via Prime. The only problem was that the card was defective. I went thru the process to return, which was simple, and did so. Received an email that a replacement had been sent with one day delivery. Got it today .Card is good, everything is perfect.I THANK YOU",Strongly Positive,Positive
"after doing some tests between a generic memory card and this sandisk i am very disappointed. i bought the 32 gig class (10) card.i swore i picked ""original packaging"" but it was shipped with out original packaging... i will be returning this card for the following reasons:these tests were done using the sd card ports on my pc.my generic class (6) 32 gig card has upload speed of 22MB (write) and a transfer speed of 8.5.my sandisk i just bought, it has an upload speed peaking at 32MB (write) and a transfer speed of 6.5 to maybe 8.5 if im lucky.the write speed is ok, but why is the transfer speed so much more low. why isnt it at least 10MB if not 12MB if sandisk is typically so modest in their classifications?and whats the deal with the no classification marking on this sd card... i dont see class (10) anywhere on this card....amazon you will be getting this back!",Negative,Negative
"First, it kept unmounting on the Galaxy Note 10.1I got it replaced.I used the replacement on my Galaxy S4 and it heats up my phone when charging. IT GETS VERY HOT. GS4 does not get hot with other sd cards. awaiting my second replacement.",Negative,Negative
"Bought it while it was one sale for $35.... I love itIt has given my Surface some wiggle room.Don't expect the read and write speed to be super fast. Most likely you computer doesn't support the current protocol to transfer at the Max speed.Overall Quality you expect from SanDisk though I think the price of this can come down bit more, now that the market is slowly moving away from microSD expansion aside from Samsung",Positive,Positive
"Purchased this card for use with my new SLR camera as a backup.  Read/Write to the card is fast which allows maximum use of special modes available with the camera. Data transfer speeds to a computer are also good, no real complaints.  Overall a good SD card for the price.",Strongly Positive,Positive
"The chip worked fine, fit perfectly, but it is SO TINY, if it falls out you are going to have a hard time finding it.If your application is a Tablet, or pad, if it has a &#34;push-in&#34; holder...you will want to put some tape, or other securing agent across the top of the chip and onto the Table sides.  If I had thought of it, clear finger nail polish would have worked just fine, or even a half drop of super glue on the top.I didn't, and it's forever gone now.  I changed from Android to Ipad and very satisfied that I upgraded to Apple.",Positive,Positive
Working flawlessly as it is supposed to.  I like the speed of the product.  The adapter case is also nice to have.,Strongly Positive,Positive
"this is my 3rd sandisk micro sd card for my 3rd android device, and just like its predecessors, the Ultra 64gb micro SDXC class 10 worked flawlessly in my SCH-I605 Samsung Galaxy Note 2.i simply inserted the card, power-cycled the device, and once rebooted, the Note 2 recognized an unformatted sd card and asked if i would like for it to be formatted in order to be read. once i chose YES, i now had an additional, fully usable micro sd card that i use for media and ebook reading storage.the response time is excellent, so i have no complaints on performance.i also love the fact that i ordered this at 3pm on Thanksgiving day when i was alerted of the $39.99 price tag.",Strongly Positive,Positive
"Used it in a Samsung Galaxy S3 and it was ruined within a month.  Second one I went through on that phone.  Contacted Verizon, Samsung, SanDisk, Google, and read a lot of forums.  Turns out a lot of people were having the issue with that phone and these cards.Of course the girlfriend threw away the card so I couldn't return it, so I don't know if the issue was fixed or if was a bad batch of cards that went out or what.  It's been a few months and I haven't seen the problem as much as before, so I can only assume it was a bad batch.I've had another card in my phone for a while and haven't had any issues, so for now I can't recommend this specific card unless their issue has been addressed.",Strongly Negative,Negative
"This thing works great. I have it to store pictures and videos and it works perfectly. I put it in and it formatted, and after that, no hassle at all. It was the best priced microsd here on Amazon and I am happy with the purchase. I would buy again if I needed to.",Strongly Positive,Positive
"Perfect.  Took card put old 32gb card and transferred it over to it in the computer.  (while my Samsung galaxy s5 was off).  Then inserted it in my Samsung galaxy s5, powered up and it was like I had never took the 32gb card out.  Read ringtones, programs stored on external sd card, everything - no errors, no glitches.  Connected the phone to the computer via usb cable and (usb 3 slot) and in no time my 75gb of music was transferred to my phone and it all read and is working perfectly.  I could not be more pleased when a products works like it is supposed to.",Strongly Positive,Positive
32GB Card takes my smartphone to a new level.  Recently purchased a RazrM and this huge capacity card allows me to take tons of picture even with a good percentage of my MP3 collection and about 9 movies on MP4.  Fast and so far so good as far as data integrity.  Highly recommend,Strongly Positive,Positive
"I packed everything that I wanted to use on my tablet onto this card and only took up about 25gb, but I haven't seen any delays in response times, whatsoever. It's very comforting to know that I have a massive amount of storage space available for downloads, pictures, videos, etc. Thank you to the manufacturer and seller for such an exceptional product and price.",Strongly Positive,Positive
"I already had a SanDisk 16GB Class 4 card in my Android phone. Here is how you know this is faster: I'd press the Play button for the music player with the Class 4 and there was always a small delay before the music played. With this 32GB SanDisk Ultra, the music plays immediately. This is a very useful way to tell how fast this is. This memory card gets my Approval and my Thanks to SanDisk!",Strongly Positive,Positive
Great price and great quality. It fit perfectly in my device. I highly recommend this brand. The adapter was a nice bonus.,Strongly Positive,Positive
"I've had this memory card for about 4 days. I ordered it with my new Galaxy S4 Verizon. Worked perfectly out of the box, didn't have to format, and read & write speeds meets up to my expectations. I will still keep my eyes on this card for little longer because I see some reviews reporting that cards fail after some time, but seems to be ok for me.Not relevant to this product, but I did get ONTRAC shipping(Amazon prime 2 day shipping) for this memory card and my Galaxy S4. After reading SO many negative reviews and feedback about this shipping company, I was crossing my fingers and hoping that they wouldn't do something stupid to my package. Fortunately, I got my package on time and nothing was damaged. One minor complain is that ONTRAC does not update their tracking history very often, or at all(based on my other purchases). As I was phoneless for couple days and really needed a phone, I checked the tracking history probably once every couple hours. It was showing that it has left the faculty for 2 1/2 days and was not updated at all until about an hour before I got my package saying that it went out for delivery on 9AM (I received my package around 5PM). Again, I got my package on time with no problem so I'm ok, but with the history of ONTRAC being so rubbish it just made me worry because I didn't wanted to be phoneless for 2-3 weeks.",Strongly Positive,Positive
Compatibility should not be an issue with these memory cards.  Even though they are SDHC they are very backwards compatible.  I threw a 32 gb in my phone for extra storage and I  have had no issues with it.  Make sure you move apps from your phone to your SD Card storage though.  It's future proof and you can hide important files on it if you want.,Strongly Positive,Positive
"Purchased this for my device, it worked as advertised. You can never have too much phone memory, since I download a lot of stuff this was a no brainer for me.",Strongly Positive,Positive
"Bought it with Retail Packaging, arrived legit, in a orange envelope, english version not asian like the picture shows. arrived quickly, bought a 32 and 16 both retail packaging for my htc one sv and Lg Optimus, both cards in working order, probably best price you'll get for a nice sd card",Strongly Positive,Positive
It's mini storage.  It doesn't do anything else and it's not supposed to.  I purchased it to add additional storage to my Microsoft Surface Pro tablet which only come in 64 and 128 GB.  It does what it's supposed to and SanDisk has a long standing reputation that speaks for itself.,Strongly Positive,Positive
"Works in a HTC Rezound.  Was running short of space on a 64GB Sandisk so I ordered this when it came out, fast and no issues.",Strongly Positive,Positive
"in my galaxy s4, super fast card, and am totally happy, not happy having to still type to fill the required words though",Strongly Positive,Positive
"It works, but file writes are a bit slower than expected on a USB3 reader. Also, both reads and writes are FASTER with the card inside the standard-size SD adapter on the same card reader.  Can't figure why...",Positive,Positive
"Solid SDHC card that is fast (at reading and writing) fast (for recording video and pics), has great capacity, and is reasonably priced. I have had no issues with it.Overall, highly recommend.",Strongly Positive,Positive
"I bought this to use with my go pro hero 3 black edition. It requires a class 10 MicroSDXC card. So far I've had no issues with it. Fast read/write, came with adapter, small packaging, but that's all it needed! Comes with a nice hard plastic case to keep both dry and together if needed.",Strongly Positive,Positive
Works as expected.  High transfer speed.  Nice to have extra microSD adapters lying around since I always seem to misplace them.  Mainly bought it to use in my Nikon DSLR since I can put the card directly into my (CM modded) Nook HD+ tablet in the field and view my images on a larger screen.,Strongly Positive,Positive
"Good price, works flawless in my Samsung S4! Normal SanDisk quality! That is why I go with this brand and only this brand..",Strongly Positive,Positive
San disk is hard to beat.  You will pay more for the brand but you get a quality product.  Would purchase again.,Strongly Positive,Positive
Installed in my Blackberry Q10 SQN100-1 and formatted. Works just fine. Plenty of storage space for pictures and videos of my son at the park.,Strongly Positive,Positive
"I just received my card, it is the class 10 64GB with the correct serial#SDSDQUA-064G-A11A. I received it in an unopened SanDisk packaging. I am going to use it on my HTC Rezound, I hope it works. From what I have read, it will work after reformatting the disk. I will update this review if I have any issues using it, if not, my rating will remain unchanged...",Strongly Positive,Positive
"I purchased two of these one for my Samsung tablet and one for my samsung galaxy note. Great hardware that is truly speedy, responsive and meets my needs!",Strongly Positive,Positive
The memory card is an excellent condition and work as described. Dependable and easy to use. An excellent choice for the enthusiast who requires more storage.,Strongly Positive,Positive
I've got a couple of these in varying sizes. I've had no problems and no complaints about speed. I always end up buying more because the prices are so low for what you get.,Strongly Positive,Positive
Bought it for my Surface Pro. I've had it in there for a few months and I've had no problems. Very fast and stable.,Strongly Positive,Positive
"Using this in a contout gps camera,  don't waste your time buying any other brand it will be a waste. Buy the best to start with.",Strongly Positive,Positive
"I've purchased several of these little babies over the years, and I always buy SanDisk. I've never had one fail, the price is great for the amount of storage you get.",Strongly Positive,Positive
It does the job and the price was right. It came quickly so I'm very happy for the purchase.  I would recommend it and would but it again.,Strongly Positive,Positive
"everything about it was great, except for the adapter.  It was so tight i had to use a tool to take it back out of the adapter causing me to chip it. so my fault i guess, but i also bought a 16gb version and the adapter for that one was fine.",Negative,Negative
Really you can't say anything bad about it. Does what it says. Super fast and great storage size for lots of movies and such.,Strongly Positive,Positive
This is just the standard micro SD card i would recommend this to anyone. i purchased this for my dad who is using it to expand the memory on his tablet! it shipped fast and is a slight bit cheaper than in the stores i believe.,Strongly Positive,Positive
Great Deal and much faster file movement.Definitely worth the purchase and sandisk has proved why they have good products.,Strongly Positive,Positive
"Use this in my Samsung Galaxy S4.  Have had it for almost a year now, no problems, really expands your memory capabilities, easy enough to install.",Strongly Positive,Positive
"excellent quality, excellent speed. no complaints here. very easy to use, reliable and the red stripe on the front makes it easy to find on a crowded desk",Strongly Positive,Positive
"This card advertises itself as UHS1 but it's actually UHS50.This means that it will not go up to SDR104 speeds/throughput.Not necessary bad, just false advertising.",Negative,Negative
"Purchase for HP tablet to have more memory for music download, pictures, and video.  Have enough room to store and some memory left over.",Strongly Positive,Positive
"Can there be anything wrong with a sandisk product?  the items read to it sooooo quickly, I am quite happy,",Strongly Positive,Positive
"fast transfer rates, I downloaded about 2GB of videos form the card to my laptop through a card reader, all in about a minute",Strongly Positive,Positive
"All though it states 16gig it only has 14.8gig available but I know that happens and expected it, keep this in mind if your wanting more storage you might want to order the 32gig card.  It was exactly what i expected and needed so no complaints.",Strongly Positive,Positive
"does the job as advertised.if you need extra memory on your phone/tablet or whatever device, this is bext buy(price/quality)",Strongly Positive,Positive
Needed for my cell phone - works perfectly.  SanDisk has never been a disappointment in the 30 plus years I've been in IT/computer work.,Strongly Positive,Positive
"Priced right, this memory card also reads and writes fast. It's a noticeable difference over cheaper cards. I put it in my phone and plan to buy another one for my tablet.",Strongly Positive,Positive
"Works great in the phone and the wife loves it, we got a second for her mom and she is storing lots of pictures and videos on it",Strongly Positive,Positive
I loaded this card up with home movies for my Samsung Galaxy Tab 2. The copy process from computer to card was fast. There are no skips in the movie quality and I have plenty of room left to go. Wish I had bought another for more collections.,Strongly Positive,Positive
"Bought this for my S3 and loaded it with 4 seasons of Futurama, 5 full length HD movies, several documentaries, and a dozen or so 30 minute comedy shows with plenty of room left over for pictures, etc...Only slight nitpick is when booting up into recovery mode on the S3 it will not recognize the card. Wanted to update the phone to the latest version of Android and it would not see it. Had to resort to a 2GB MicroSD I had laying around. That wasn't a SD card issue but I thought I would throw that in.",Positive,Positive
"Great storage, has not failed yet after about a year of usage.",Strongly Positive,Positive
"Since the wife is using it and it is not causing any problems, then it must be functioning normally. Looks good so far.",Strongly Positive,Positive
Class 10 speeds are the only way to fly and with 29.71GB of usable space I think I should be good for a while.,Strongly Positive,Positive
"The subject says it all.  Does what it's supposed to do ... at a great price.  When it's on sale, buy it.",Strongly Positive,Positive
"High speed, high capacity of storage. Great durability. I use in my phone and in my digital camera. Work very good",Strongly Positive,Positive
THis memory helps me to keep all what I want to keep on my cell phone.It is a good brand and its on the right price.,Strongly Positive,Positive
"I bought this SD card for my android phone thinking that a class 10 will be faster and more reliable than others. it turns out, the difference in class doesn't really matter at least for Android phones. didn't really worth the price difference",Negative,Negative
"Bought this to store music on my phone. Works flawlessly after three months so far, no problems.In my card reader, I average 6-8 megabytes read and write to it.",Strongly Positive,Positive
"Excellent, one of the best, can't go wrong with this card, class 10 is necessary and shows noticeable but not significant improvements over class 4",Strongly Positive,Positive
Got this to store movies and music on my Samsung Note III.Not much to say about a memory card except that it works as expected.,Strongly Positive,Positive
I purchased this version to expand memory on my 16gb android tablet.  Nothing fancy but it does the job.  No problems and it played back flawlessly all the files I transferred.There are so many different microSD cards out now but if you see this on sale then you might want to consider it instead of cheaper no-name brand.,Strongly Positive,Positive
I use this for my phone and it works just as it should and it was totally worth the money! Great place to store pictures and music for phones instead of using the phone memory so it will still run fast.,Strongly Positive,Positive
"I bought two of these one for Asus infinity and one for Samsung galaxy s3 international version. It worked fine with my Asus but it didn't work on my phone. I formatted this card using the phone,the tablet and my laptop  but didn't work I did some tests with apps using some apps nothing showed its not working the only way I got it to work is by formatting it in my Canon SLR camera.",Positive,Positive
Great for adding a ton of storage to your smartphone or other device.  Fast enough for most needs and the price is right.,Strongly Positive,Positive
"You can't possibly go wrong with a San Disc product!  Although I purchased this for my son, I have used San Disc in the past and have never been disappointed!",Strongly Positive,Positive
"I bought this for a friend of mine to put some videos on it.  Initially, when plugged into the computer, we couldn't find the storage in the directory.  However, after finding a micro sd to usb adapter...bingo!  Worked like a charm after that.  Install the videos, plugged the card in the phone, and we were off to the races.Not sure if we needed the adapter, but we couldn't get the computer to recognize it.  We also used a Linux O/S.  Go figure.",Strongly Positive,Positive
I installed this on my Samsung tablet tab 2 7.0. There is definitely a performance difference on my tablet especially when i load up all my apps.,Strongly Positive,Positive
This memory works in Samsung Smartphones .It is a fast memorySandisk is the most reliable memories in the market,Strongly Positive,Positive
"Love it, good quality good performance, great brand. Could not find better product for my money. Using it for a Samsung Galaxy S4 mini with zero complications.",Strongly Positive,Positive
"Still don't feel is very fast or is just my phone, I guess I will need to remove it and run some R/W tests. Still Its ok.",Neutral,Neutral
My husband and I bought this for our GoPro and we used to to record our vacation to Mexico. We still have more than half of the space left!,Strongly Positive,Positive
This item is what it is; I've been using it for a few months now and it records HD videos in my GoPro Hero3 without problems.,Strongly Positive,Positive
"i love this little guy its super fast and it has a lot of space for storage, just plug it in and enjoy",Strongly Positive,Positive
Bought it for my gopro hero3 camera (silver edition).Working without any problems. Fast!Was pleasantly surprised of the good quality Memory Card Adapter! Now can turn it into my laptop directly.,Strongly Positive,Positive
"It is a great addition to a smart phone with huge capacity to store data. Also it is pretty fast to record video, no lag at all during recording.",Strongly Positive,Positive
The micro SD card was very well made it had great read and write speeds and it added gray amount of memory to my Samsung galaxy s4. Really recommend this,Strongly Positive,Positive
"I bought this item to use in my gopro hero 3 because it's what they sell on the gopro website, but can be had a lot cheaper on Amazon.  Have yet to have problems with the card.",Strongly Positive,Positive
"Works perfectly and for a fair price, it is immediately recognized by any device you use it . Good purchase!",Strongly Positive,Positive
SanDisk is a company you can trust and offering such a good product at a low price.Comes with an adapter and small case to get full sd card size and keep it from getting lost when not in use.,Strongly Positive,Positive
"Appears to be Class 10, holds about as much as it says it does, came with an SD card adapter and they even gave me the option to forgo those ridiculous plastic packages that you all know and hate. The ones that the scissors refuse to cut and you just end up hurting yourself a few times before getting it open. Completely as advertised.",Strongly Positive,Positive
I bought this card for my Gopro hero3+ and it was worked fine. Some people said they have problems with the cards in the new gopros but I have had no such problems. The micro card works with anything that also takes standard cards due to the included adapter.,Strongly Positive,Positive
Have always had good experiences with SanDisk products.  This was priced well.  I have installed it in my wife's cell phone and it was immediately  recognized.  Not quite sure about the features this chip is supposed to have but for the amount of memory it was a good deal - extra features or not.,Strongly Positive,Positive
"Great value, plenty of storage for both my phone & tablet!  I looked around and this is a really good deal.",Strongly Positive,Positive
Shipped fast and worked really well!  I use this just in case I have to take a lot of photos! Loads fast!,Strongly Positive,Positive
I bought this memory card for my Samsung Note 10.1. i amis really happy about it and i am recommending this product & am very pleased about it.,Strongly Positive,Positive
"Shipping was fast , the product has a great quality and a great pricing.I like this manufacture and I am going to order them for my other devices.Lots of space",Strongly Positive,Positive
So far so good. I bought a samsung micro sd card from bestbuy and it somehow erasedeverything. So this is my second one. Hopefully it keeps all of my stuff,Strongly Positive,Positive
Used it in my Galaxy Note 2 for the past 16 months. All the sudden it is no longer writable. I tried many ways to reformat the card. Even Windows says format successful but all files remain after I remove and re-insert the card. Since I have private files in the card I'm not able to delete. I do not want to sent it back to SanDisk for replacement.,Strongly Negative,Negative
"Usual SanDisk quality worked as expected and delivered on time, no problems worked great on my Android Samsung Tablet.",Strongly Positive,Positive
"Put in the lumix camera and it works fast and great, no complaints, never had any issues, highly recommended, this brand always comes through  .",Strongly Positive,Positive
Great product with enough capacity and it delivers performance. I am happy with this product on my Samsung Galaxy S4 phone.,Strongly Positive,Positive
"Got this because you can't beat the price and Sandisk has so far always been reliable for me.  I own two 32gb UHS-1 cards and a few older (16gb, 8gb, class 4, class 6, etc) Sandisk MicroSDs not including my standard SDs or my USB thumb drives and they have stood up to my tests with only one card I can think of failing, which I was still able to recover all the data from (just not write to it anymore) and I'm pretty hard on my rewritable media.  What more can you say?",Strongly Positive,Positive
"Cannot go wrong with SanDisk and to date it works as advertised. The price wasn't a great cost savings but because it came from Amazon which has a great reputation to date as far as I am concerned, I purchased through them.",Positive,Positive
Awesome card.. glad to be able to use it with my DSLR!,Strongly Positive,Positive
Replaced one that crapped out in my tablet - taking most of my apps and a few hours of my time with it.,Positive,Positive
"I bought this as a gift for the hubby and he seems quite well happy with it. It hasn't given him any issues, and he certainly uses a lot of information/media on his smartphone since he is a techie lol",Strongly Positive,Positive
"does exactly what I needed it to do for Galaxy S5. Word of Warning...With KitKat it prevents apps from editing, changing, deleting anything on your SD card. Stock Apps that come with the phone can but downloaded ones are not able to. The trick if you have pics movies or whatever is to copy them to the Phones Internal Storage and delete from there. Until they fix it or come up with a non root work around for the Operating System.",Strongly Positive,Positive
"Worked great in my galaxy s4--until it didn't work at all for some unknown reason. Used it for about 4 months before it crapped out. BACK UP YOUR DATA WITH ALL THESE THINGS, THOUGH....",Negative,Negative
We use these in both our cameras when we are traveling. With the 32 GB we do not have to take a bunch of accessories. We also use them in our Cell Phones.,Strongly Positive,Positive
Enough storage to my DSLR.Really low price for a Class 10 card.U can use several of this and make a Linux based SSD.,Strongly Positive,Positive
"it is handy. 64gb is a good size. even though many devices claim only to support up to 32 gb card, many of them actually do support 64g card.i like sandisk, it is a brand you can always trust (not saying they dont have lemon,but it's happened to everything).",Strongly Positive,Positive
I bought this for my Raspberry Pi.  It is large enough to run a full LAMP server.  The price / speed are a good bargain.,Strongly Positive,Positive
"it is very good, thanks SanDisk,you must have it with gopro cam to get the benefit of cam, yap.",Strongly Positive,Positive
Just popped it in and moved some apps to the card and works great.  Video is handled quickly and all apps start fast.,Strongly Positive,Positive
oh how I have waited for this...works in S3 Samsung Galaxyworks in Note 3 Samsungexcellent transfer rates close to rated speeds (25mbs achieved)using this to make a music collection truly portable  (so nice to not have to carry 2 devices anymore)hope this review helps,Strongly Positive,Positive
"Why would you get anything less?  64GB of instantaneous movies, video, music or pictures.  If you have an Android phone that's capable of accepting micro SD cards go ahead and get you one or two.",Strongly Positive,Positive
"I routinely use SDXC cards up to 128GB, and this card was unreadable on arrival.  Both of my PCs said it needed to be formatted, and as a last resort I let one of them try (Windows 7/i7with up-to-date SDXC drivers), and it could not format it.  It's on its way back to Amazon.  I'm glad their returns are so easy!",Negative,Negative
I purchased this and could not get it to work. Then I discovered that SanDisk has an app for it. So if you are stressing over this not working in your android device no worries go get the app it will work.,Positive,Positive
